,Distrito,Tipo I,Ases.,Viol.,Robo,Agr. Grave,Esc.,Apr. I,H. Auto,Date
199,Caguas,546,4.0,0.0,68.0,26.0,194.0,188,66.0,2010-03-01
200,Cabo Rojo,100,0.0,0.0,3.0,4.0,54.0,32,7.0,2010-03-01
201,Bayamón,1903,14.0,0.0,257.0,36.0,373.0,959,264.0,2010-03-01
202,Barranquitas,135,4.0,0.0,7.0,14.0,56.0,45,9.0,2010-03-01
203,Cataño,65,0.0,0.0,4.0,3.0,21.0,29,8.0,2010-03-01
204,Barceloneta,63,3.0,0.0,8.0,0.0,22.0,2,28.0,2010-03-01
205,Arecibo,238,7.0,0.0,25.0,15.0,90.0,39,62.0,2010-03-01
206,Añasco,50,0.0,0.0,5.0,4.0,24.0,15,2.0,2010-03-01
207,Aibonito,133,1.0,0.0,5.0,6.0,45.0,66,10.0,2010-03-01
208,Aguas Buenas,74,1.0,0.0,11.0,10.0,37.0,14,1.0,2010-03-01
209,Aguadilla,240,0.0,0.0,19.0,14.0,114.0,89,4.0,2010-03-01
210,Aguada ,127,1.0,0.0,3.0,10.0,57.0,52,4.0,2010-03-01
211,Adjuntas,104,0.0,0.0,7.0,2.0,43.0,49,3.0,2010-03-01
212,Arroyo,54,2.0,0.0,1.0,5.0,20.0,26,0.0,2010-03-01
213,Juana Díaz,111,5.0,0.0,13.0,5.0,47.0,36,5.0,2010-03-01
214,Cayey,267,7.0,0.0,10.0,8.0,66.0,166,10.0,2010-03-01
215,Cidra,92,4.0,1.0,9.0,12.0,48.0,13,5.0,2010-03-01
216,Isabela,59,2.0,0.0,7.0,2.0,27.0,19,2.0,2010-03-01
217,Humacao,347,2.0,0.0,26.0,14.0,149.0,154,2.0,2010-03-01
218,Hormigueros,49,0.0,0.0,2.0,0.0,27.0,17,3.0,2010-03-01
219,Hatillo,91,0.0,0.0,11.0,1.0,34.0,18,27.0,2010-03-01
220,Gurabo,60,1.0,0.0,7.0,5.0,28.0,9,10.0,2010-03-01
221,Guaynabo,482,10.0,0.0,57.0,15.0,76.0,281,43.0,2010-03-01
222,Guayanilla,40,0.0,1.0,3.0,2.0,18.0,14,2.0,2010-03-01
223,Ceiba,45,1.0,0.0,3.0,3.0,21.0,17,0.0,2010-03-01
224,Guayama,209,4.0,0.0,11.0,14.0,63.0,110,7.0,2010-03-01
225,Florida,32,0.0,0.0,1.0,0.0,21.0,7,3.0,2010-03-01
226,Fajardo,147,3.0,0.0,16.0,6.0,48.0,66,8.0,2010-03-01
227,Dorado,137,4.0,0.0,19.0,15.0,26.0,51,22.0,2010-03-01
228,Culebra,16,0.0,0.0,0.0,0.0,8.0,8,0.0,2010-03-01
229,Corozal,138,0.0,1.0,10.0,10.0,28.0,56,33.0,2010-03-01
230,Comerío,89,2.0,0.0,6.0,12.0,32.0,35,2.0,2010-03-01
231,Coamo,140,2.0,1.0,8.0,5.0,58.0,55,11.0,2010-03-01
232,Guánica,31,0.0,0.0,3.0,5.0,6.0,15,2.0,2010-03-01
