region,total_customers,affected_customers,created_at
PONCE,212508,235,2022-06-07T12:00:00
SAN JUAN,253068,80,2022-06-07T12:00:00
ARECIBO,177369,549,2023-05-02T15:00:00
BAYAMON,216496,248,2023-05-02T15:00:00
CAROLINA,141663,1829,2023-05-02T15:00:00
CAGUAS,250514,1042,2023-05-02T15:00:00
MAYAGUEZ,216605,7884,2023-05-02T15:00:00
PONCE,212508,13,2023-05-02T15:00:00
SAN JUAN,253068,365,2023-05-02T15:00:00
ARECIBO,177369,18,2023-04-23T03:00:00
BAYAMON,216496,3052,2023-04-23T03:00:00
CAROLINA,141663,14,2023-04-23T03:00:00
CAGUAS,250514,2712,2023-04-23T03:00:00
MAYAGUEZ,216605,731,2023-04-23T03:00:00
PONCE,212508,261,2023-04-23T03:00:00
SAN JUAN,253068,164,2023-04-23T03:00:00
ARECIBO,177369,1019,2022-09-09T18:00:00
BAYAMON,216496,225,2022-09-09T18:00:00
CAROLINA,141663,63,2022-09-09T18:00:00
CAGUAS,250514,428,2022-09-09T18:00:00
MAYAGUEZ,216605,246,2022-09-09T18:00:00
PONCE,212508,27,2022-09-09T18:00:00
SAN JUAN,253068,601,2022-09-09T18:00:00
ARECIBO,177369,1,2022-03-25T06:00:00
BAYAMON,216496,32,2022-03-25T06:00:00
CAROLINA,141663,0,2022-03-25T06:00:00
CAGUAS,250514,116,2022-03-25T06:00:00
MAYAGUEZ,216605,17,2022-03-25T06:00:00
PONCE,212508,6,2022-03-25T06:00:00
SAN JUAN,253068,31,2022-03-25T06:00:00
ARECIBO,177369,15,2022-06-20T00:00:00
BAYAMON,216496,2,2022-06-20T00:00:00
CAROLINA,141663,18,2022-06-20T00:00:00
CAGUAS,250514,316,2022-06-20T00:00:00
MAYAGUEZ,216605,24,2022-06-20T00:00:00
PONCE,212508,1480,2022-06-20T00:00:00
SAN JUAN,253068,60,2022-06-20T00:00:00
ARECIBO,177369,62,2021-10-10T06:00:00
BAYAMON,216496,26,2021-10-10T06:00:00
CAROLINA,141663,24,2021-10-10T06:00:00
CAGUAS,250514,15,2021-10-10T06:00:00
MAYAGUEZ,216605,183,2021-10-10T06:00:00
PONCE,212508,126,2021-10-10T06:00:00
SAN JUAN,253068,277,2021-10-10T06:00:00
ARECIBO,177369,43,2022-11-11T21:00:00
BAYAMON,216496,108,2022-11-11T21:00:00
CAROLINA,141663,16,2022-11-11T21:00:00
CAGUAS,250514,50,2022-11-11T21:00:00
MAYAGUEZ,216605,257,2022-11-11T21:00:00
PONCE,212508,15,2022-11-11T21:00:00
SAN JUAN,253068,290,2022-11-11T21:00:00
ARECIBO,177369,4041,2022-10-04T18:00:00
BAYAMON,216496,3891,2022-10-04T18:00:00
CAROLINA,141663,1240,2022-10-04T18:00:00
CAGUAS,250514,12891,2022-10-04T18:00:00
MAYAGUEZ,216605,103751,2022-10-04T18:00:00
PONCE,212508,67702,2022-10-04T18:00:00
SAN JUAN,253068,714,2022-10-04T18:00:00
ARECIBO,177369,214,2023-04-27T06:00:00
BAYAMON,216496,5905,2023-04-27T06:00:00
CAROLINA,141663,12,2023-04-27T06:00:00
CAGUAS,250514,1115,2023-04-27T06:00:00
MAYAGUEZ,216605,81,2023-04-27T06:00:00
PONCE,212508,29,2023-04-27T06:00:00
SAN JUAN,253068,22,2023-04-27T06:00:00
ARECIBO,177369,174,2022-04-23T18:00:00
BAYAMON,216496,27,2022-04-23T18:00:00
CAROLINA,141663,17,2022-04-23T18:00:00
CAGUAS,250514,72,2022-04-23T18:00:00
MAYAGUEZ,216605,536,2022-04-23T18:00:00
PONCE,212508,17,2022-04-23T18:00:00
SAN JUAN,253068,2,2022-04-23T18:00:00
ARECIBO,177369,21,2022-12-30T00:00:00
BAYAMON,216496,1870,2022-12-30T00:00:00
CAROLINA,141663,31,2022-12-30T00:00:00
CAGUAS,250514,2,2022-12-30T00:00:00
MAYAGUEZ,216605,32,2022-12-30T00:00:00
PONCE,212508,126,2022-12-30T00:00:00
SAN JUAN,253068,192,2022-12-30T00:00:00
ARECIBO,177369,145,2022-10-26T03:00:00
BAYAMON,216496,2,2022-10-26T03:00:00
CAROLINA,141663,42,2022-10-26T03:00:00
CAGUAS,250514,83,2022-10-26T03:00:00
MAYAGUEZ,216605,12485,2022-10-26T03:00:00
PONCE,212508,451,2022-10-26T03:00:00
SAN JUAN,253068,147,2022-10-26T03:00:00
ARECIBO,177369,252,2022-11-07T00:00:00
BAYAMON,216496,340,2022-11-07T00:00:00
CAROLINA,141663,424,2022-11-07T00:00:00
CAGUAS,250514,246,2022-11-07T00:00:00
MAYAGUEZ,216605,209,2022-11-07T00:00:00
PONCE,212508,190,2022-11-07T00:00:00
SAN JUAN,253068,592,2022-11-07T00:00:00
ARECIBO,177369,149,2023-04-22T00:00:00
BAYAMON,216496,2,2023-04-22T00:00:00
CAROLINA,141663,403,2023-04-22T00:00:00
CAGUAS,250514,262,2023-04-22T00:00:00
MAYAGUEZ,216605,98,2023-04-22T00:00:00
PONCE,212508,3978,2023-04-22T00:00:00
SAN JUAN,253068,43,2023-04-22T00:00:00
ARECIBO,177369,53426,2022-09-30T03:00:00
BAYAMON,216496,2809,2022-09-30T03:00:00
CAROLINA,141663,5185,2022-09-30T03:00:00
CAGUAS,250514,37201,2022-09-30T03:00:00
MAYAGUEZ,216605,133467,2022-09-30T03:00:00
PONCE,212508,125824,2022-09-30T03:00:00
SAN JUAN,253068,4137,2022-09-30T03:00:00
ARECIBO,177369,1,2023-02-12T09:00:00
BAYAMON,216496,53,2023-02-12T09:00:00
CAROLINA,141663,1,2023-02-12T09:00:00
CAGUAS,250514,160,2023-02-12T09:00:00
MAYAGUEZ,216605,66,2023-02-12T09:00:00
PONCE,212508,11,2023-02-12T09:00:00
SAN JUAN,253068,0,2023-02-12T09:00:00
ARECIBO,177369,15,2023-01-15T15:00:00
BAYAMON,216496,12,2023-01-15T15:00:00
CAROLINA,141663,24,2023-01-15T15:00:00
CAGUAS,250514,56,2023-01-15T15:00:00
MAYAGUEZ,216605,19,2023-01-15T15:00:00
PONCE,212508,1,2023-01-15T15:00:00
SAN JUAN,253068,182,2023-01-15T15:00:00
ARECIBO,177369,1758,2023-03-30T18:00:00
BAYAMON,216496,1031,2023-03-30T18:00:00
CAROLINA,141663,515,2023-03-30T18:00:00
CAGUAS,250514,3298,2023-03-30T18:00:00
MAYAGUEZ,216605,356,2023-03-30T18:00:00
PONCE,212508,2318,2023-03-30T18:00:00
SAN JUAN,253068,164,2023-03-30T18:00:00
ARECIBO,177369,4,2021-11-25T06:00:00
BAYAMON,216496,198,2021-11-25T06:00:00
CAROLINA,141663,14,2021-11-25T06:00:00
CAGUAS,250514,487,2021-11-25T06:00:00
MAYAGUEZ,216605,94,2021-11-25T06:00:00
PONCE,212508,74,2021-11-25T06:00:00
SAN JUAN,253068,434,2021-11-25T06:00:00
ARECIBO,177369,755,2022-11-02T18:00:00
BAYAMON,216496,206,2022-11-02T18:00:00
CAROLINA,141663,30,2022-11-02T18:00:00
CAGUAS,250514,1196,2022-11-02T18:00:00
MAYAGUEZ,216605,3850,2022-11-02T18:00:00
PONCE,212508,359,2022-11-02T18:00:00
SAN JUAN,253068,195,2022-11-02T18:00:00
ARECIBO,177369,1705,2021-12-15T12:00:00
BAYAMON,216496,19,2021-12-15T12:00:00
CAROLINA,141663,5,2021-12-15T12:00:00
CAGUAS,250514,544,2021-12-15T12:00:00
MAYAGUEZ,216605,233,2021-12-15T12:00:00
PONCE,212508,16,2021-12-15T12:00:00
SAN JUAN,253068,5,2021-12-15T12:00:00
ARECIBO,177369,1401,2022-03-24T12:00:00
BAYAMON,216496,63,2022-03-24T12:00:00
CAROLINA,141663,53,2022-03-24T12:00:00
CAGUAS,250514,76,2022-03-24T12:00:00
MAYAGUEZ,216605,7,2022-03-24T12:00:00
PONCE,212508,55,2022-03-24T12:00:00
SAN JUAN,253068,59,2022-03-24T12:00:00
ARECIBO,177369,49,2022-05-08T06:00:00
BAYAMON,216496,89,2022-05-08T06:00:00
CAROLINA,141663,134,2022-05-08T06:00:00
CAGUAS,250514,233,2022-05-08T06:00:00
MAYAGUEZ,216605,7,2022-05-08T06:00:00
PONCE,212508,0,2022-05-08T06:00:00
SAN JUAN,253068,1,2022-05-08T06:00:00
ARECIBO,177369,8,2023-01-15T00:00:00
BAYAMON,216496,11,2023-01-15T00:00:00
CAROLINA,141663,5,2023-01-15T00:00:00
CAGUAS,250514,344,2023-01-15T00:00:00
MAYAGUEZ,216605,19,2023-01-15T00:00:00
PONCE,212508,1,2023-01-15T00:00:00
SAN JUAN,253068,242,2023-01-15T00:00:00
ARECIBO,177369,202,2022-10-24T15:00:00
BAYAMON,216496,383,2022-10-24T15:00:00
CAROLINA,141663,9,2022-10-24T15:00:00
CAGUAS,250514,665,2022-10-24T15:00:00
MAYAGUEZ,216605,4890,2022-10-24T15:00:00
PONCE,212508,1817,2022-10-24T15:00:00
SAN JUAN,253068,540,2022-10-24T15:00:00
ARECIBO,177369,3,2022-01-02T00:00:00
BAYAMON,216496,17,2022-01-02T00:00:00
CAROLINA,141663,0,2022-01-02T00:00:00
CAGUAS,250514,64,2022-01-02T00:00:00
